,repo_gits,repo_cntrb_counts
93,pytorch/pytorch,195
113,tensorflow/tensorflow,82
0,,64
136,numpy/numpy,45
112,openxla/xla,42
812,pytorch/ao,39
832,pytorch/tutorials,35
428,google/jax,33
149,scipy/scipy,31
99,pytorch/executorch,29
104,pytorch/benchmark,26
100,pytorch/test-infra,26
531,triton-lang/triton,25
110,llvm/llvm-project,25
986,pytorch/torchtitan,24
989,pytorch/torchtune,24
844,pytorch/builder,22
416,tinygrad/tinygrad,21
992,vllm-project/vllm,20
1175,keras-team/keras,18
533,pytorch/FBGEMM,18
816,pytorch/torchchat,18
805,pytorch/xla,17
855,pytorch/pytorch.github.io,16
991,huggingface/transformers,16
512,Dao-AILab/flash-attention,14
479,python/cpython,13
1352,google-ai-edge/ai-edge-torch,12
959,karpathy/LLM101n,12
1230,microsoft/onnxruntime,12
998,karpathy/llm.c,12
538,networkx/networkx,11
177,scikit-learn/scikit-learn,11
238,pandas-dev/pandas,11
972,pytorch/kineto,10
963,meta-llama/llama3,10
1355,ROCm/ROCm,10
872,pytorch/torchrec,10
854,pytorch/vision,10
862,pytorch-labs/gpt-fast,10
1380,Lightning-AI/lightning-thunder,9
168,scipy-conference/scipy_proceedings,9
146,numpy/numpy.org,9
1168,pytorch/audio,9
1837,ollama/ollama,8
2999,intel/intel-extension-for-pytorch,8
978,facebookresearch/HolisticTraceAnalysis,8
988,pytorch/data,8
150,scientific-python/specs,8
114,openxla/stablehlo,8
502,pypi/support,8
415,cython/cython,8
1877,pytorch-labs/float8_experimental,8
535,facebookresearch/xformers,8
1840,ggerganov/llama.cpp,8
174,scientific-python/blog.scientific-python.org,7
475,pybind/pybind11,7
434,OpenMathLib/OpenBLAS,7
245,cupy/cupy,7
788,jax-ml/ml_dtypes,7
163,astral-sh/ruff,7
270,google/highway,7
852,facebookresearch/segment-anything-2,7
953,facebookincubator/AITemplate,7
1989,THU-MIG/yolov10,7
1092,google-ai-edge/model-explorer,7
139,scikit-image/scikit-image,7
559,networkx/nx-parallel,6
1556,NVIDIA/TransformerEngine,6
2455,microsoft/onnxscript,6
2454,onnx/onnx,6
1504,pytorch/serve,6
393,sympy/sympy,6
1464,run-llama/llama_index,6
1516,NVIDIA/cutlass,6
1550,comfyanonymous/ComfyUI,6
440,Quansight-Labs/free-threaded-compatibility,6
166,scipy-lectures/scientific-python-lectures,6
198,pydata/pydata-sphinx-theme,5
2561,NVIDIA/TensorRT-LLM,5
164,scientific-python/scientific-python.org,5
1615,NVIDIA/apex,5
193,pyodide/pyodide,5
3079,AnswerDotAI/gpu.cpp,5
275,rapidsai/cugraph,5
811,pytorch/cpuinfo,5
1382,NVIDIA/Fuser,5
1315,conda-forge/staged-recipes,5
1227,ROCm/pytorch,5
1177,tensorflow/text,5
1120,openai/triton,5
3389,NixOS/nixpkgs,5
949,KindXiaoming/pykan,5
871,huggingface/trl,5
843,pytorch/rfcs,5
801,iree-org/iree,5
387,data-apis/array-api-tests,5
3174,microsoft/onnxruntime-genai,5
715,tensorflow/serving,5
1620,intel/torch-xpu-ops,5
3029,tensorflow/docs,5
